Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-07-11 00:00:00+00:00,30417.6328125,30488.515625,30412.908203125,30455.212890625,21399552,0.0,0.0
2023-07-11 00:30:00+00:00,30443.755859375,30446.302734375,30375.580078125,30409.208984375,23447552,0.0,0.0
2023-07-11 01:00:00+00:00,30417.833984375,30488.931640625,30417.833984375,30488.931640625,38169600,0.0,0.0
2023-07-11 01:30:00+00:00,30487.951171875,30580.138671875,30487.951171875,30578.2890625,147281920,0.0,0.0
2023-07-11 02:00:00+00:00,30587.337890625,30596.8515625,30523.14453125,30526.41015625,25277440,0.0,0.0
2023-07-11 02:30:00+00:00,30505.4765625,30529.708984375,30476.51171875,30476.51171875,46234624,0.0,0.0
2023-07-11 03:00:00+00:00,30481.876953125,30487.07421875,30412.86328125,30412.86328125,10149888,0.0,0.0
2023-07-11 03:30:00+00:00,30425.732421875,30483.400390625,30425.732421875,30483.400390625,84139008,0.0,0.0
2023-07-11 04:00:00+00:00,30479.95703125,30497.421875,30478.17578125,30481.607421875,10472448,0.0,0.0
2023-07-11 04:30:00+00:00,30480.890625,30480.890625,30448.736328125,30448.736328125,43760640,0.0,0.0
2023-07-11 05:00:00+00:00,30449.646484375,30453.796875,30441.505859375,30453.796875,34011136,0.0,0.0
2023-07-11 05:30:00+00:00,30459.16015625,30462.302734375,30445.158203125,30451.32421875,23822336,0.0,0.0
2023-07-11 06:00:00+00:00,30456.6328125,30542.65234375,30453.783203125,30518.958984375,89472000,0.0,0.0
2023-07-11 06:30:00+00:00,30526.669921875,30630.3828125,30526.669921875,30630.3828125,239949824,0.0,0.0
2023-07-11 07:00:00+00:00,30634.689453125,30645.5,30579.919921875,30588.3984375,109826048,0.0,0.0
2023-07-11 07:30:00+00:00,30589.763671875,30589.763671875,30544.09765625,30544.390625,66828288,0.0,0.0
2023-07-11 08:00:00+00:00,30542.22265625,30566.5703125,30535.060546875,30535.060546875,9384960,0.0,0.0
2023-07-11 08:30:00+00:00,30541.9296875,30541.9296875,30508.912109375,30508.912109375,43530240,0.0,0.0
2023-07-11 09:00:00+00:00,30504.345703125,30507.32421875,30383.12109375,30411.26171875,97808384,0.0,0.0
2023-07-11 09:30:00+00:00,30426.37890625,30439.787109375,30384.533203125,30439.787109375,41074688,0.0,0.0
2023-07-11 10:00:00+00:00,30444.08203125,30445.85546875,30399.625,30401.4921875,31401984,0.0,0.0
2023-07-11 10:30:00+00:00,30402.701171875,30421.591796875,30382.357421875,30397.134765625,0,0.0,0.0
2023-07-11 11:00:00+00:00,30399.228515625,30438.451171875,30399.228515625,30431.609375,18725888,0.0,0.0
2023-07-11 11:30:00+00:00,30435.177734375,30454.16796875,30403.490234375,30408.859375,55347200,0.0,0.0
2023-07-11 12:00:00+00:00,30411.13671875,30411.13671875,30380.615234375,30396.712890625,6123520,0.0,0.0
2023-07-11 12:30:00+00:00,30398.283203125,30437.548828125,30398.283203125,30437.548828125,18697216,0.0,0.0
2023-07-11 13:00:00+00:00,30433.03515625,30435.80078125,30398.716796875,30406.515625,6575104,0.0,0.0
2023-07-11 13:30:00+00:00,30408.791015625,30491.548828125,30358.09765625,30429.765625,103609344,0.0,0.0
2023-07-11 14:00:00+00:00,30441.763671875,30523.853515625,30381.962890625,30514.580078125,73019392,0.0,0.0
2023-07-11 14:30:00+00:00,30506.919921875,30586.333984375,30499.66015625,30520.857421875,72057856,0.0,0.0
2023-07-11 15:00:00+00:00,30526.55859375,30754.69140625,30526.55859375,30576.845703125,454107136,0.0,0.0
2023-07-11 15:30:00+00:00,30554.970703125,30633.91015625,30504.296875,30584.603515625,246873088,0.0,0.0
2023-07-11 16:00:00+00:00,30598.3828125,30629.115234375,30520.89453125,30531.20703125,56781824,0.0,0.0
2023-07-11 16:30:00+00:00,30533.24609375,30679.833984375,30533.24609375,30649.57421875,108155904,0.0,0.0
2023-07-11 17:00:00+00:00,30645.626953125,30665.2421875,30610.84765625,30636.54296875,36347904,0.0,0.0
2023-07-11 17:30:00+00:00,30650.212890625,30652.953125,30566.26953125,30576.025390625,43103232,0.0,0.0
2023-07-11 18:00:00+00:00,30577.060546875,30579.25390625,30503.421875,30503.421875,39774208,0.0,0.0
2023-07-11 18:30:00+00:00,30497.974609375,30497.974609375,30429.875,30484.763671875,24313856,0.0,0.0
2023-07-11 19:00:00+00:00,30481.556640625,30557.466796875,30481.556640625,30553.521484375,0,0.0,0.0
2023-07-11 19:30:00+00:00,30559.404296875,30584.291015625,30537.79296875,30582.642578125,0,0.0,0.0
2023-07-11 20:00:00+00:00,30581.779296875,30625.44921875,30581.779296875,30603.044921875,0,0.0,0.0
2023-07-11 20:30:00+00:00,30589.419921875,30610.037109375,30559.396484375,30577.03125,51731456,0.0,0.0
2023-07-11 21:00:00+00:00,30583.537109375,30583.537109375,30523.626953125,30526.853515625,0,0.0,0.0
2023-07-11 21:30:00+00:00,30528.556640625,30573.26171875,30515.63671875,30569.080078125,0,0.0,0.0
2023-07-11 22:00:00+00:00,30568.958984375,30594.240234375,30549.830078125,30549.830078125,0,0.0,0.0
2023-07-11 22:30:00+00:00,30550.373046875,30579.8125,30523.34375,30579.8125,4400128,0.0,0.0
2023-07-11 23:00:00+00:00,30584.755859375,30622.693359375,30584.755859375,30612.560546875,7337984,0.0,0.0
2023-07-11 23:30:00+00:00,30643.458984375,30643.458984375,30609.84375,30621.84765625,24688640,0.0,0.0
2023-07-12 00:00:00+00:00,30632.232421875,30632.232421875,30560.078125,30564.48046875,3312640,0.0,0.0
2023-07-12 00:30:00+00:00,30561.189453125,30579.6796875,30515.43359375,30522.9140625,74257408,0.0,0.0
2023-07-12 01:00:00+00:00,30524.029296875,30570.912109375,30522.984375,30523.6796875,43582464,0.0,0.0
